1105,Oils and fats manufacturing,3,1,2,0,0,0,1,2,5,1,4,0,0,1,2,20,43,305,10,134,21,93,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,10,3,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,4,11,4,9,5,32,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4,7,1,10,16,0,1,1,1,3,1,0,827,428,0,12,0,3,22,530,995, 1 822
1106,Grain mill and cereal product manufacturing,17,14,10,1,1,1,3,2,3,1,4,0,2,23,0,24,59,3,94,595,123,142,29,11,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,2,1,0,0,1,0,0,1,7,3,2,15,12,161,95,229,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,1,11,14,16,27,3,96,173,1,8,12,4,3,1,0, 2 089, 2 336,0,44,1,9,15, 1 505, 3 910, 5 999
1107,Bakery product manufacturing,5,2,4,1,0,1,2,17,4,8,32,1,14,5,1,29,21,2,20,211,37,63,3,2,0,0,0,1,0,0,0,0,1,2,2,1,23,3,0,3,1,2,2,1,0,1,0,0,2,0,1,3,1,2,1,2,2,5,2,5,0,3,1,0,1,1,3,1,15,4,2,2,18,38,125,68,835,2,1,5,0,3,1,0,1,0,0,1,0,0,0,0,2,0,2,22,1,6,3,7,33,17,43,81,8,45,147,2,4,18,2,2,6,3, 2 140, 5 003,0,28,1,6,207,797, 6 043, 8 183
1108,Sugar and confectionery manufacturing,8,3,4,2,0,1,2,13,21,9,37,2,3,2,2,98,15,3,130,345,826,442,218,33,10,0,0,0,0,0,0,0,1,1,2,1,8,22,0,2,4,3,0,1,0,3,1,0,2,2,0,3,1,2,2,2,0,1,2,2,1,1,1,2,3,5,1,2,1,18,4,14,36,24,79,118,709,12,4,2,2,4,8,1,3,0,14,15,0,6,6,12,5,18,12,73,27,28,14,14,24,20,15,20,2,28,153,8,35,21,5,9,11,1, 3 945, 2 473,1,78,7,27,-17, 2 079, 4 649, 8 594
1109,Other food product manufacturing,656,417,7,66,1,18,49,7,12,4,11,1,7,18,2,153,103,9,72,319,94,416,9,2,1,0,0,1,0,0,0,3,4,1,1,1,2,3,2,19,6,2,0,1,0,2,1,0,2,2,0,4,1,2,4,1,1,2,4,2,1,6,2,1,2,2,1,2,24,21,11,8,61,46,219,62,405,9,1,0,3,3,2,1,11,0,1,4,0,2,2,1,2,1,2,12,2,6,3,19,50,53,27,47,4,77,217,31,593,36,11,9,51,3, 4 701, 4 992,0,98,3,21,303, 2 330, 7 747, 12 448
1201,"Soft drinks, cordials and syrup manufacturing",3,1,1,0,0,0,1,3,4,2,6,0,0,1,0,26,29,2,1,6,4,9,45,0,3,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,6,2,4,11,4,7,4,47,4,1,0,1,1,1,0,0,0,1,2,0,1,5,3,1,4,2,6,2,2,2,2,10,2,2,3,0,11,22,1,15,20,2,3,2,5,388, 4 298,0,24,1,5,-36,740, 5 033, 5 421
1202,Beer manufacturing,10,0,2,0,0,0,8,1,4,1,7,1,0,0,0,0,0,0,0,0,0,0,11,135,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,5,5,208,856,1,1,0,10,0,0,0,0,0,0,0,0,12,0,0,1,0,1,1,0,1,0,15,6,1,0,15,1,1,2,0,4,32,1,0,1,0, 1 378, 2 484,0,9,0,2,-73,614, 3 037, 4 415
1205,"Wine, spirits and tobacco",3,0,4,1,0,0,1,4,4,2,10,1,2,1,0,1,1,0,1,1,2,2,1,1,116,0,0,1,0,0,0,0,1,2,1,2,3,9,0,4,0,13,1,1,0,1,1,0,1,0,0,2,1,2,1,1,1,1,1,1,0,2,1,1,1,1,0,3,1,6,4,5,16,6,5,45,348,3,1,0,4,1,1,0,0,0,1,2,0,17,1,0,1,0,2,8,2,2,1,10,2,1,2,9,1,6,3,0,1,6,3,3,2,0,756, 2 924,9,60,6,19,-27, 2 682, 5 673, 6 429
1301,Textile manufacturing,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,25,0,1,0,0,3,0,3,4,1,16,0,3,2,55,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,5,0,1,5,0,0,0,0,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,6,0,2,2,0,0,0,0,1,0,0,169,12,0,2,0,1,1,307,324,493
1302,"Tanned leather, dressed fur and leather product manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,62,100,0,2,0,0,14,633,750,812
